Record Type,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
BOAT,BOT,RYE,NY,10580,WESTCHESTER,1940,FAIRF,BOAT,GAS,,,,03/10/2020,04/30/2023,,N,N,N
BOAT,BOT,STAATSBURG,NY,12580,DUTCHESS,1955,STARC,BOAT,GAS,,,,05/15/2020,04/30/2023,,N,N,N
TRL,LTR,BETHEL PARK,PA,15102,OUT-OF-STATE,1980,CRCF,LTRL,NONE,,3000,,09/30/2020,12/31/2021,BR,N,N,N
BOAT,BOT,CORTLAND,NY,13045,CORTLAND,1971,STARC,BOAT,GAS,,,,05/18/2020,04/30/2023,,N,N,N
BOAT,BOT,CANEADEA,NY,14717,ALLEGANY,1971,STARC,BOAT,GAS,,,,06/10/2020,05/31/2023,,N,N,N
BOAT,BOT,LOCKPORT,NY,14094,NIAGARA,1971,STARC,BOAT,NONE,,,,05/20/2020,04/30/2023,,N,N,N
BOAT,BOT,LITTLE YORK,NY,13087,CORTLAND,1968,HERTE,BOAT,GAS,,,,09/30/2019,08/31/2022,,N,N,N
BOAT,BOT,RUXTON,MD,21204,OUT-OF-STATE,1969,ST/CR,BOAT,GAS,,,,03/05/2019,03/31/2022,,N,N,N
BOAT,BOT,TULLY,NY,13159,ONONDAGA,1970,ST/CR,BOAT,GAS,,,,06/21/2021,05/31/2024,,N,N,N
TRL,LTR,SILVER LAKE,NY,14549,WYOMING,1959,TEENE,LTRL,NONE,,1500,,04/13/2021,12/31/2021,WH,N,N,N
BOAT,BOT,NAPLES,NY,14512,YATES,1973,ST/CR,BOAT,GAS,,,,04/03/2019,04/30/2022,,N,N,N
BOAT,BOT,PENNELLVILLE,NY,13132,OSWEGO,1971,STARC,BOAT,GAS,,,,06/26/2020,06/30/2023,,N,N,N
BOAT,BOT,BEAVER FALLS,NY,13305,LEWIS,1970,ST/CR,BOAT,GAS,,,,05/08/2020,04/30/2023,,N,N,N
TRL,TRL,MALONE,NY,12953,FRANKLIN,1980,HOMEM,UTIL,NONE,,5500,,12/18/2020,12/31/2021,BK,N,N,N
BOAT,BOT,MANORVILLE,NY,11949,SUFFOLK,1975,ROBAL,BOAT,GAS,,,,07/28/2020,06/30/2023,,N,N,N
TRL,LTR,ORCHARD PARK,NY,14127,ERIE,1956,HOMEM,LTRL,NONE,,2000,,10/24/2020,12/31/2021,BK,N,N,N
VEH,PAS,SARATOGA SPRIN,NY,12866,SARATOGA,1976,LA/RO,SUBN,GAS,3500,,,03/03/2021,05/12/2023,WH,N,N,N
