HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30000007,1,67,3,2,1,2,2,6,2,-1,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,0,1,-1,1000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,67,2,3,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,5,7,3,NC,37,3,1,201608,1,10,3,1,2,1,1,1,5,3,53,2,2,XXXXX,2,206.690152866912,T,50,1500,750,750,20,750,300
30000007,2,66,3,2,2,1,2,1,-1,2,2,1,6,-1,2,-1,7,0,0,-1,-1,0,-1,0,0,1,120,90,-1,08:30 PM,2,2,-1,-1,-1,5,2,-1,2,2,-1,7,1,-1,10000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,58.5799999999999,37,1,2,82.6099999999969,-9.0,66,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,5,7,3,NC,37,3,1,201608,1,10,3,1,2,1,1,1,5,3,53,2,2,XXXXX,2,197.075741935491,T,50,1500,750,750,20,750,300
30000007,3,28,2,2,3,2,2,5,2,-1,-1,-1,-1,-1,-1,-1,7,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,2,2,-1,2,1,-1,1000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,28,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,5,7,3,NC,37,3,1,201608,1,10,3,1,2,1,1,1,5,3,53,2,2,XXXXX,2,219.51421024347,T,50,1500,750,750,20,750,300
30000008,1,55,5,2,1,1,1,1,-1,2,2,1,6,-1,4,-1,5,0,0,-1,-1,0,-1,0,0,1,10,10,-1,06:15 AM,2,2,-1,-1,-1,0,2,-1,2,3,7,-1,1,-1,12000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,5.52999999999997,55,1,2,8.10999999999967,-9.0,55,1,4,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,4,8,2,WI,55,2,2,201608,2,2,2,5,2,4,6,2,3,2,32,1,2,33460,2,63.1859107619801,R,5,300,300,150,5,300,300
30000008,2,49,4,2,2,2,1,1,-1,2,2,1,3,1,2,-1,0,-1,0,-1,-1,0,-1,0,0,1,5,4,-1,09:00 AM,2,2,-1,-1,-1,0,2,-1,2,2,-1,7,1,-1,10000,1,2,2,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,0,2.21999999999991,55,1,2,3.06999999999994,-9.0,49,2,4,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,4,8,2,WI,55,2,2,201608,2,2,2,5,2,4,6,2,3,2,32,1,2,33460,2,58.6659109109796,R,5,300,300,150,5,300,300
30000012,1,45,5,2,1,2,1,1,-1,2,2,1,3,-1,4,-1,6,6,0,-1,-1,0,-1,0,0,1,30,12,-1,07:30 AM,2,2,-1,-1,-1,5,2,-1,2,3,7,-1,1,-1,17000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,9,4.59999999999991,36,1,2,6.81999999999994,-9.0,45,2,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,2,1,23,1,2,XXXXX,2,58.9662753786649,C,80,17000,17000,5000,60,17000,7000
30000019,1,68,1,2,1,1,1,97,2,-1,-1,-1,-1,-1,-1,-1,7,7,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,2,-1,3,1,-1,15000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,68,1,3,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,5,3,53,1,2,XXXXX,2,233.138564557913,S,40,300,300,150,50,750,300
30000019,2,66,2,2,2,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,7,7,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,3,2,-1,3,1,-1,5000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,66,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,5,3,53,1,2,XXXXX,2,249.148184653263,S,40,300,300,150,50,750,300
30000029,1,72,3,2,1,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,2,-1,1,1,-1,15000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,3,-9.0,-9,1,2,-9.0,-9.0,72,1,4,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,3,2,33,1,2,XXXXX,2,91.4076433463828,S,40,1500,750,750,40,1500,750
30000029,2,72,2,2,2,2,1,6,2,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,1,2,-1,2,1,-1,4000,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,7,-9.0,-9,1,2,-9.0,-9.0,72,2,4,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,3,2,33,1,2,XXXXX,2,96.2492890698046,S,40,1500,750,750,40,1500,750
